gps_time,heading,pitch,roll,gyroX,gyroY,gyroZ,accX,accY,accZ,latitude,longitude,east_speed,north_speed,position_type,GNSS_info1,GNSS_info2,vehicle_lat_speed,vehicle_lon_speed
184213260,225.94,-1.1300000000000001,0.26,0.13678,-0.8952700000000001,0.54945,-0.011186999999999999,-0.028522,0.9551099999999999,31.33139152,121.22373918500001,-2.52,-3.42,50,1,188,4.210089334727471,4.189208721651678
184213280,225.93,-1.1400000000000001,0.24,-0.13666,-1.07526,0.37618,0.005222,-0.010947,0.957395,31.331390904000003,121.22373865300001,-2.52,-3.42,50,1,188,4.209990239848718,4.189331741341252
184213300,225.92000000000002,-1.1500000000000001,0.21,-0.55401,-1.5788700000000002,0.34813000000000005,-0.023743999999999998,-0.03049,0.969355,31.331390288,121.22373812000001,-2.52,-3.42,50,1,188,4.2098910167263295,4.189454633416483
184213320,225.92000000000002,-1.16,0.19,-0.56942,-1.09328,0.24815,0.015823999999999998,-0.008036999999999999,0.970175,31.331389672,121.22373758900001,-2.52,-3.42,50,1,188,4.2098910167263295,4.189454633416483
184213340,225.91,-1.18,0.17,-1.16979,-0.8695700000000001,0.33887,-0.011127999999999999,-0.007942,0.965239,31.331389056000003,121.223737056,-2.5300000000000002,-3.42,50,1,188,4.216749539856429,4.19675987533884
184213360,225.91,-1.2,0.15,-0.94486,-1.2931000000000001,0.21424,-0.012103,-0.019266,0.960459,31.331388439,121.223736524,-2.52,-3.42,50,1,188,4.209791665363327,4.18957739787363
184213380,225.9,-1.21,0.12,-0.53173,-1.21055,0.22608000000000003,0.018862,-0.017915999999999998,0.95639,31.331387822000003,121.22373599100001,-2.5300000000000002,-3.42,50,1,188,4.216651313728661,4.196881297686583
184213400,225.9,-1.2,0.1,0.44712,-1.33159,0.27762000000000003,-0.01205,-0.007365999999999999,0.977583,31.331387206000002,121.22373545800001,-2.5300000000000002,-3.42,50,1,188,4.216651313728661,4.196881297686583
184213420,225.9,-1.2,0.07,0.19463000000000003,-1.51937,0.062000000000000006,0.009826,0.003134,1.012287,31.331386589,121.223734925,-2.5300000000000002,-3.43,50,1,188,4.223832576706293,4.203840425652507
184213440,225.9,-1.21,0.04,-0.62426,-1.35423,-0.1496,-0.025991,-0.011293,1.0445659999999999,31.331385973000003,121.223734393,-2.5300000000000002,-3.43,50,1,188,4.223832576706293,4.203840425652507
184213460,225.91,-1.23,0.03,-0.8915000000000001,-0.5143500000000001,-0.44106000000000006,-0.007133,-0.018747,1.059553,31.331385355000002,121.223733859,-2.5300000000000002,-3.43,50,1,188,4.223932017321639,4.203717749831942
184213480,225.91,-1.25,0.02,-0.7394700000000001,-0.6254000000000001,-0.37982000000000005,-0.00778,-0.036434999999999995,1.045822,31.331384737,121.22373332500001,-2.5300000000000002,-3.43,50,1,188,4.223932017321639,4.203717749831942
184213500,225.93,-1.25,0.0,-0.40056,-1.44656,-0.64349,-0.025439999999999997,-0.025258,1.0107249999999999,31.331384119000003,121.223732791,-2.5300000000000002,-3.43,50,1,188,4.224130512544324,4.203472014036858
184213520,225.95000000000002,-1.26,-0.01,-0.14950000000000002,-0.7035600000000001,-0.9001800000000001,0.025842,-0.038983,1.003268,31.3313835,121.223732259,-2.52,-3.43,50,1,188,4.217375634586812,4.196038432834217
184213540,225.96,-1.26,-0.02,-0.013920000000000002,-0.41586,-0.7498900000000001,-0.007104999999999999,-0.000672,1.005677,31.331382882000003,121.22373172600001,-2.5300000000000002,-3.43,50,1,188,4.2244272903130184,4.203102450015517
184213560,225.98000000000002,-1.26,-0.03,-0.30708,-0.7476,-0.87909,0.011778,-0.0023279999999999998,0.987238,31.331382264000002,121.223731192,-2.5300000000000002,-3.43,50,1,188,4.224624498746767,4.202855433825926
184213580,226.0,-1.26,-0.06,0.20587000000000003,-1.4724300000000001,-0.9503100000000001,0.015281,-0.032628,0.9741869999999999,31.331381645,121.22373065800001,-2.5300000000000002,-3.43,50,1,188,4.224821192422836,4.202607905531149
184213600,226.02,-1.24,-0.08,1.1052000000000002,-1.0698,-1.28874,-0.02257,-0.031769,0.991342,31.331381027000003,121.22373012300001,-2.5300000000000002,-3.43,50,1,188,4.225017371317259,4.202359865161346
184213620,226.06,-1.24,-0.09,-0.02562,-0.09941000000000001,-1.9337400000000002,0.007319999999999999,-0.038794999999999996,0.973406,31.331380409,121.22372959100001,-2.5300000000000002,-3.43,50,1,188,4.225408184665609,4.201862248317617
184213640,226.1,-1.25,-0.1,-0.5121100000000001,-0.9386700000000001,-2.11891,0.005234,-0.012943999999999999,0.979935,31.331379794000004,121.22372906000001,-2.5300000000000002,-3.43,50,1,188,4.22579693860134,4.201362583537275
184213660,226.15,-1.27,-0.13,-1.0122,-1.4801900000000001,-2.51892,-0.003825,-0.020807,1.033043,31.331379176000002,121.223728527,-2.5300000000000002,-3.43,50,1,188,4.226279984683455,4.2007351230220795
184213680,226.20000000000002,-1.28,-0.17,-0.36265000000000003,-1.6448300000000002,-2.49812,0.022687,-0.012995,1.0349409999999999,31.331378558,121.22372799300001,-2.5300000000000002,-3.43,50,1,188,4.226759812269512,4.200104463464352
184213700,226.25,-1.31,-0.2,-1.49546,-1.64437,-2.4857,0.002776,-0.032544,0.971842,31.331377940000003,121.223727459,-2.5300000000000002,-3.43,50,1,188,4.227236420994103,4.1994706053443664
184213720,226.31,-1.34,-0.24,-1.7790500000000002,-1.6828400000000001,-2.7118800000000003,0.006039999999999999,-0.037971,0.9849479999999999,31.331377322,121.223726924,-2.5300000000000002,-3.43,50,1,188,4.227804102055606,4.19870575417803
184213740,226.36,-1.3800000000000001,-0.27,-1.6542100000000002,-1.88094,-2.6215900000000003,0.042047999999999995,-0.025217999999999997,1.010106,31.331376705,121.22372639000001,-2.5300000000000002,-3.42,50,1,188,4.221036725613458,4.191163611493927
184213760,226.41,-1.4000000000000001,-0.31,-0.9819000000000001,-1.9201700000000002,-2.50891,0.025251,-0.025283999999999997,1.042686,31.331376089000003,121.22372585500001,-2.54,-3.42,50,1,188,4.228391943248475,4.197768761363488
184213780,226.46,-1.41,-0.35000000000000003,-0.7919700000000001,-1.90708,-2.6748600000000002,0.032624,-0.008386,1.028975,31.331375473,121.22372531900001,-2.54,-3.42,50,1,188,4.22884269134937,4.197133812052175
184213800,226.52,-1.43,-0.38,-1.0412000000000001,-1.5378,-2.85847,0.024953,-0.025831,0.9879389999999999,31.331374858,121.22372478300001,-2.5500000000000003,-3.41,50,1,188,4.229004205273985,4.196742786580854
