gps_time,heading,pitch,roll,gyroX,gyroY,gyroZ,accX,accY,accZ,latitude,longitude,east_speed,north_speed,position_type,GNSS_info1,GNSS_info2,vehicle_lat_speed,vehicle_lon_speed
20373810,171.78,-1.03,0.5,0.044140000000000006,0.10716,-0.35641,-0.008681,-0.018295,0.9984379999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373830,171.78,-1.03,0.5,0.051340000000000004,0.15251,-0.30003,-0.008598,-0.018061,0.998412,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373850,171.78,-1.03,0.5,0.0361,0.053930000000000006,-0.37352,-0.008784,-0.018175999999999998,0.9980859999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373870,171.78,-1.03,0.5,-0.01026,0.08855,-0.3864,-0.00874,-0.018362,0.99806,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373890,171.78,-1.04,0.5,0.05301,0.12701,-0.38099000000000005,-0.008917999999999999,-0.018282,0.998208,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373910,171.78,-1.04,0.5,0.04032,0.056810000000000006,-0.33601000000000003,-0.008874,-0.018133,0.9982209999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373930,171.78,-1.03,0.5,0.07369,0.06386,-0.40971,-0.008633,-0.017932999999999998,0.9983289999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373950,171.78,-1.03,0.51,0.051370000000000006,0.04771,-0.37454000000000004,-0.008942,-0.018081,0.998562,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373970,171.78,-1.03,0.5,0.039920000000000004,0.025400000000000002,-0.36465000000000003,-0.008805,-0.018054,0.998416,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373990,171.78,-1.03,0.5,0.02527,0.05639,-0.39768000000000003,-0.008605,-0.018366999999999998,0.9981129999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374010,171.78,-1.03,0.5,0.009420000000000001,0.04578,-0.33744,-0.008735,-0.018305,0.9981909999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374030,171.78,-1.03,0.5,0.0661,0.03432,-0.31305000000000005,-0.008891999999999999,-0.018187,0.998597,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374050,171.78,-1.03,0.51,0.06099,0.07875,-0.38001,-0.008869,-0.018168,0.998238,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374070,171.78,-1.03,0.51,0.09301000000000001,0.10518000000000001,-0.40889000000000003,-0.008901,-0.01822,0.998176,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374090,171.78,-1.03,0.51,0.05435,0.042820000000000004,-0.34043,-0.00887,-0.018269,0.998139,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374110,171.78,-1.04,0.51,0.05876000000000001,0.11032000000000002,-0.39517,-0.008806,-0.018334,0.9982709999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374130,171.78,-1.03,0.51,0.06452000000000001,0.10338000000000001,-0.37965000000000004,-0.008874,-0.018175,0.9986029999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374150,171.78,-1.03,0.51,0.10426,0.07397000000000001,-0.35838000000000003,-0.009041,-0.018115,0.998093,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
